id_oferty,dzielnica,metraz_m2,liczba_pokoi,pietro,rok_budowy,ma_balkon,ma_miejsce_parkingowe,odleglosc_od_centrum_km,cena_pln,cena_pln_per_m2,cena_pln_capped,cena_pln_log
10001,Białołęka,69.1,4,3,1995,True,False,4.52,948319.0,13723.863965267728,948319.0,13.762447277021666
10002,Praga-Południe,29.9,1,4,2016,True,False,2.13,408287.0,13655.083612040135,408287.0,12.91972808672147
10003,Wilanów,90.9,5,4,2005,True,True,14.62,1464602.0,16112.233223322331,1464602.0,14.197094773947853
10004,Targówek,29.8,2,3,2016,False,False,0.5,390717.0,13111.308724832214,390717.0,12.875741351136258
10005,Ursynów,61.7,2,7,1997,True,False,6.38,764932.0,12397.601296596435,764932.0,13.547543527273826
10006,Białołęka,38.4,3,6,1966,True,True,5.58,427097.0,11122.317708333334,427097.0,12.964768774074505
10007,Ochota,53.6,3,8,1952,True,False,5.67,554464.0,10344.477611940298,554464.0,13.225758963852549
10008,Śródmieście,62.2,3,6,1984,True,True,10.34,1175695.0,18901.84887459807,1175695.0,13.977370870621586
10009,Białołęka,62.1,3,9,2009,False,False,2.4,995279.0,16027.037037037036,995279.0,13.810779383588372
10010,Wilanów,64.3,4,0,2014,True,False,2.3,1348134.0,20966.314152410578,1348134.0,14.114232713807828
10011,Wilanów,90.5,4,6,1983,True,False,10.36,1293015.0,14287.45856353591,1293015.0,14.072488032000713
10012,Targówek,65.0,4,0,1997,False,False,7.96,702578.0,10808.892307692307,702578.0,13.462513129383405
10013,Ursynów,49.6,3,6,1992,True,True,12.92,643515.0,12974.092741935483,643515.0,13.374702169734078
10014,Praga-Południe,76.2,4,9,1992,True,False,4.68,1230474.0,16147.952755905511,1230474.0,14.022910831662523
10015,Targówek,81.2,5,7,1978,True,True,4.58,913085.0,11244.889162561576,913085.0,13.724585350102704
10016,Targówek,28.0,1,10,1968,True,False,9.68,290884.0,10388.714285714286,290884.0,12.58068327904244
10017,Śródmieście,68.1,4,8,1974,True,False,11.81,1166943.0,17135.726872246698,1166943.0,13.969898923827683
10018,Bemowo,70.4,4,11,1958,False,False,2.15,935169.0,13283.650568181818,935169.0,13.748483609925719
10019,Ursynów,48.5,3,2,1974,True,True,17.37,527606.0,10878.474226804125,527606.0,13.176106967364273
10020,Wola,85.3,4,3,1951,False,False,3.9,933907.0,10948.49941383353,933907.0,13.747133211288768
10021,Targówek,51.7,3,3,2005,False,False,6.34,670825.0,12975.338491295937,670825.0,13.416265067869976
10022,Bemowo,57.8,3,11,1985,True,False,7.88,842987.0,14584.55017301038,842987.0,13.644708002007231
10023,Wola,51.2,3,8,2023,True,True,10.52,893884.0,17458.671875,893884.0,13.70333241053466
10024,Ursynów,55.3,3,6,1974,True,True,8.7,671329.0,12139.764918625679,671329.0,13.41701609833691
10025,Mokotów,30.9,1,2,1987,True,True,5.76,538239.0,17418.73786407767,538239.0,13.196059836326665
10026,Ochota,23.3,1,9,1988,False,False,8.65,253464.0,10878.283261802575,253464.0,12.442981025420098
10027,Bemowo,90.1,5,4,1951,True,False,4.21,978024.0,10854.872364039957,978024.0,13.79329051106243
10028,Bielany,36.4,2,6,2017,True,False,3.65,633158.0,17394.45054945055,633158.0,13.358476854418807
10029,Mokotów,33.2,2,7,1955,True,True,5.63,528960.0,15932.530120481926,528960.0,13.178669984115126
10030,Wilanów,18.0,1,0,2022,True,True,11.43,339925.0,18884.722222222223,339925.0,12.736483225844962
10031,Wilanów,40.9,1,11,2019,True,False,7.77,864443.0,21135.525672371637,864443.0,13.669841804679406
10032,Ochota,25.9,1,1,2000,True,False,3.97,487612.0,18826.718146718147,487612.0,13.097277337431553
10033,Śródmieście,91.1,5,6,2000,True,False,5.17,1993678.0,21884.500548847423,1993678.0,14.505492233595929
10034,Białołęka,77.2,3,10,2007,True,False,9.99,760947.0,9856.826424870465,760947.0,13.542320303365912
10035,Praga-Południe,39.9,2,1,1990,True,True,6.54,426911.0,10699.52380952381,426911.0,12.964333181978533
10036,Bielany,104.6,6,6,2006,True,False,6.03,1717731.0,16421.902485659655,1717731.0,14.356515374014377
10037,Śródmieście,76.6,5,8,1957,True,False,6.12,1295231.0,16909.02088772846,1295231.0,14.074200387649377
10038,Ursynów,47.9,3,10,1958,True,False,2.24,722406.0,15081.544885177453,722406.0,13.490343970960446
10039,Śródmieście,18.0,1,1,1995,True,True,1.19,386263.0,21459.055555555555,386263.0,12.864276352491917
